region,task,ablation,r2,pearson,mae
iberia_2003,BC,cn_era5,-0.12326133251190186,0.3217437933897118,1.2604070889210561
iberia_2003,DC,cn_era5,-0.17840933799743652,0.2022648148945098,0.023430494591593742
mediterranean_2003,BC,cn_era5,-0.02843797206878662,0.3968717446538738,9.318133606939227
mediterranean_2003,DC,cn_era5,-0.03510761260986328,0.39443991139551826,0.017203673720359802
eastern_europe_2010,BC,cn_era5,-0.49820101261138916,0.3471613883394339,3.194715873178211
eastern_europe_2010,DC,cn_era5,-0.5038343667984009,0.3445994374002525,0.059177182614803314
scandinavia_2018,BC,cn_era5,-0.10153019428253174,-0.05964219691278613,5.605110118267476
scandinavia_2018,DC,cn_era5,-0.012012362480163574,0.07446056254427888,0.009532271884381771
