region,task,ablation,r2,pearson,mae,roc,pr_auc,best_f1,iou
iberia_2003,CC,cn_era5,-0.07019376754760742,0.17337910405858722,0.2573350965976715,,,,
iberia_2003,HW,cn_era5,,,,0.6741428997757223,0.24618310161381285,0.47173097016369336,0.00078125
mediterranean_2003,CC,cn_era5,0.0819932222366333,0.38642516872017957,0.21710750460624695,,,,
mediterranean_2003,HW,cn_era5,,,,0.7868193922618305,0.3419309138760104,0.43243331777346466,0.16425942730389193
eastern_europe_2010,CC,cn_era5,-0.3345149755477905,0.1100268923087728,0.45217227935791016,,,,
eastern_europe_2010,HW,cn_era5,,,,0.5385744830023169,0.42703883825856526,0.6260967955423667,0.008843804801354539
scandinavia_2018,CC,cn_era5,-1.0186669826507568,-0.046721325983637076,0.1755218356847763,,,,
scandinavia_2018,HW,cn_era5,,,,0.6146823657734706,0.0847386707757797,0.1333897051051686,0.052370808300820984
