region,task,ablation,r2,pearson,mae,roc,pr_auc,best_f1,iou
iberia_2003,CC,cn_era5,0.33544665575027466,0.6293436470736564,0.21850942075252533,,,,
iberia_2003,HW,cn_era5,,,,0.7519392928248393,0.44061453235663045,0.4950655985138744,0.24993408911152123
mediterranean_2003,CC,cn_era5,0.3060882091522217,0.5636914686488199,0.21285992860794067,,,,
mediterranean_2003,HW,cn_era5,,,,0.851847750067023,0.49192782392608936,0.5260688513146039,0.35691548535615547
eastern_europe_2010,CC,cn_era5,0.08830434083938599,0.5121211276289127,0.33030426502227783,,,,
eastern_europe_2010,HW,cn_era5,,,,0.7631176462388243,0.7268189104226327,0.6848577315285711,0.5207480193945644
scandinavia_2018,CC,cn_era5,-0.46175718307495117,0.36664231658854185,0.15083958208560944,,,,
scandinavia_2018,HW,cn_era5,,,,0.886955098832339,0.27950418411450956,0.34898368164901233,0.18819828614817224
