region,task,ablation,r2,pearson,mae
iberia_2003,BC,cn_era5,-0.06441128253936768,0.2839998751198079,1.348590558336582
iberia_2003,DC,cn_era5,-0.06913185119628906,0.17980134408141557,0.027028996497392654
iberia_2003,CC,cn_era5,-0.07019376754760742,0.17337910405858722,0.2573350965976715
mediterranean_2003,BC,cn_era5,0.09315425157546997,0.41986374785646474,1.0403772421341273
mediterranean_2003,DC,cn_era5,-0.05458641052246094,0.14206778610436344,0.01949755847454071
mediterranean_2003,CC,cn_era5,0.0819932222366333,0.38642516872017957,0.21710750460624695
eastern_europe_2010,BC,cn_era5,-0.6378904581069946,-0.09264392983951551,3.23919152833696
eastern_europe_2010,DC,cn_era5,-0.4477715492248535,0.2965558275606504,0.05931765213608742
eastern_europe_2010,CC,cn_era5,-0.3345149755477905,0.1100268923087728,0.45217227935791016
scandinavia_2018,BC,cn_era5,-0.4711240530014038,-0.045906977641924925,9.832091336647863
scandinavia_2018,DC,cn_era5,-0.33472681045532227,0.025758562378315107,0.015969641506671906
scandinavia_2018,CC,cn_era5,-1.0186669826507568,-0.046721325983637076,0.1755218356847763
