region,task,ablation,r2,pearson,mae,roc,pr_auc,best_f1,iou
iberia_2003,CC,cn_era5,-0.141837477684021,0.2706463755291834,0.22809073328971863,,,,
iberia_2003,HW,cn_era5,,,,0.6575991479420854,0.24533647897724462,0.47299675413554415,0.24024162310046862
mediterranean_2003,CC,cn_era5,-0.050269484519958496,0.36293376095610946,0.19261974096298218,,,,
mediterranean_2003,HW,cn_era5,,,,0.7997360109901004,0.34656848974338306,0.45829404403959173,0.27815893126380625
eastern_europe_2010,CC,cn_era5,-0.5025179386138916,0.3312899356225355,0.4441496729850769,,,,
eastern_europe_2010,HW,cn_era5,,,,0.7044709711785171,0.6263153287695385,0.6231821237192414,0.45262495095042116
scandinavia_2018,CC,cn_era5,0.010344445705413818,0.1523890803448374,0.07668958604335785,,,,
scandinavia_2018,HW,cn_era5,,,,0.588483450019776,0.05653244402631315,0.12930310663308145,0.04821155034801537
