region,task,ablation,r2,pearson,mae,roc,pr_auc,best_f1,iou
iberia_2003,CC,cn_only,0.6800636649131775,0.8246911342785269,0.11675751209259033,,,,
iberia_2003,CC,era5_only,-0.008377552032470703,0.46711246747205676,0.25521841645240784,,,,
iberia_2003,CC,cn_era5,0.6640539169311523,0.815048750445512,0.12852464616298676,,,,
iberia_2003,HW,cn_only,,,,0.9090516424375542,0.7995651930717549,0.7281447424999173,0.5725059814834079
iberia_2003,HW,era5_only,,,,0.8215806764126736,0.5280679431045027,0.595486291007813,0.054178674351585014
iberia_2003,HW,cn_era5,,,,0.8993424650990233,0.7573245054685029,0.65152313365769,0.4252273393957172
mediterranean_2003,CC,cn_only,0.6060698628425598,0.7798001819898633,0.10840598493814468,,,,
mediterranean_2003,CC,era5_only,0.03188300132751465,0.2866391610402163,0.23160438239574432,,,,
mediterranean_2003,CC,cn_era5,0.5997010469436646,0.7778494370383531,0.12416452914476395,,,,
mediterranean_2003,HW,cn_only,,,,0.9134995101645638,0.7787296091045764,0.7146034221000369,0.5559400377955973
mediterranean_2003,HW,era5_only,,,,0.736457531784007,0.3074896818431728,0.42643764002987306,0.16038678326077035
mediterranean_2003,HW,cn_era5,,,,0.9218407815377015,0.7738053023943924,0.7076352829757356,0.5475507599782683
eastern_europe_2010,CC,cn_only,0.6014808416366577,0.7850923888080477,0.1688978374004364,,,,
eastern_europe_2010,CC,era5_only,0.4392470717430115,0.7104581054904274,0.2553207278251648,,,,
eastern_europe_2010,CC,cn_era5,0.6361285448074341,0.8068003192519624,0.17110896110534668,,,,
eastern_europe_2010,HW,cn_only,,,,0.8694038140971443,0.862837301238184,0.793757902259359,0.6512462091979261
eastern_europe_2010,HW,era5_only,,,,0.8541754889245107,0.8435029948121425,0.7456489222313695,0.5508474576271186
eastern_europe_2010,HW,cn_era5,,,,0.8847456681007236,0.8768229851630547,0.7934373684282009,0.6462834244706337
scandinavia_2018,CC,cn_only,0.3455301523208618,0.7041244944865744,0.08849471807479858,,,,
scandinavia_2018,CC,era5_only,0.11943262815475464,0.37928221876004453,0.16033804416656494,,,,
scandinavia_2018,CC,cn_era5,0.4871308207511902,0.7250776816058072,0.07684125751256943,,,,
scandinavia_2018,HW,cn_only,,,,0.9485365248436681,0.7317081307299791,0.6247239429033127,0.43741303164135764
scandinavia_2018,HW,era5_only,,,,0.8215487414655142,0.2037163148592769,0.32032765682259107,0.19070841889117043
scandinavia_2018,HW,cn_era5,,,,0.94999694365171,0.6912675008133207,0.5749039151919585,0.39717825905872556
