region,task,ablation,r2,pearson,mae,roc,pr_auc,best_f1,iou
iberia_2003,CC,cn_era5,0.22098129987716675,0.5790145748198673,0.20739343762397766,,,,
iberia_2003,HW,cn_era5,,,,0.8018446086789828,0.5540840334992889,0.5686983286210229,0.3076710358940324
mediterranean_2003,CC,cn_era5,0.1144108772277832,0.4789247649505796,0.18439821898937225,,,,
mediterranean_2003,HW,cn_era5,,,,0.8466389082392292,0.4974980756038546,0.5319477252283548,0.33342327383423276
eastern_europe_2010,CC,cn_era5,0.0763704776763916,0.47482801494620597,0.35766440629959106,,,,
eastern_europe_2010,HW,cn_era5,,,,0.7598599774583721,0.6938002247451942,0.6897352407387638,0.5226876332327455
scandinavia_2018,CC,cn_era5,0.022475600242614746,0.39802079505670307,0.09776674211025238,,,,
scandinavia_2018,HW,cn_era5,,,,0.760381724155969,0.11706750256856657,0.22535459949384967,0.10716977971354384
