region,task,ablation,r2,pearson,mae
iberia_2003,BC,cn_era5,0.02639591693878174,0.5740395741004497,1.5353778053395217
iberia_2003,DC,cn_era5,-0.0630791187286377,0.5510668283808053,0.028814950957894325
mediterranean_2003,BC,cn_era5,0.13639181852340698,0.5038139906295825,1.0054382073576562
mediterranean_2003,DC,cn_era5,0.10133558511734009,0.5024979851769007,0.01856224425137043
eastern_europe_2010,BC,cn_era5,-0.4093846082687378,0.4143786060789578,3.231290520488983
eastern_europe_2010,DC,cn_era5,-0.1492457389831543,0.5173469585554213,0.055933404713869095
scandinavia_2018,BC,cn_era5,0.04461544752120972,0.4405717551676388,7.69392613619857
scandinavia_2018,DC,cn_era5,0.22205477952957153,0.4892208373508182,0.012385238893330097
